time, mean reward 100 episode, best mean reward, episodes, exploration, learning rate
60000, -20.690000, -20.540000, 277, 0.946000, 0.000100
70000, -20.830000, -20.540000, 326, 0.937000, 0.000100
80000, -20.770000, -20.540000, 373, 0.928000, 0.000100
90000, -20.720000, -20.540000, 419, 0.919000, 0.000100
100000, -20.440000, -20.410000, 457, 0.910000, 0.000100
110000, -20.150000, -20.120000, 489, 0.901000, 0.000100
120000, -19.760000, -19.750000, 522, 0.892000, 0.000100
130000, -19.680000, -19.660000, 557, 0.883000, 0.000100
140000, -19.360000, -19.360000, 581, 0.874000, 0.000100
150000, -18.580000, -18.580000, 601, 0.865000, 0.000100
160000, -17.500000, -17.500000, 622, 0.856000, 0.000100
170000, -16.480000, -16.480000, 643, 0.847000, 0.000100
180000, -15.890000, -15.890000, 664, 0.838000, 0.000100
190000, -15.230000, -15.230000, 685, 0.829000, 0.000100
200000, -15.560000, -15.230000, 705, 0.820000, 0.000100
210000, -15.960000, -15.230000, 726, 0.811000, 0.000100
220000, -16.150000, -15.230000, 747, 0.802000, 0.000100
230000, -16.120000, -15.230000, 769, 0.793000, 0.000100
240000, -16.510000, -15.230000, 792, 0.784000, 0.000100
250000, -16.230000, -15.230000, 812, 0.775000, 0.000100
260000, -15.610000, -15.230000, 830, 0.766000, 0.000100
270000, -15.170000, -15.170000, 848, 0.757000, 0.000100
280000, -14.880000, -14.850000, 864, 0.748000, 0.000100
290000, -14.180000, -14.180000, 881, 0.739000, 0.000100
300000, -13.490000, -13.490000, 896, 0.730000, 0.000100
310000, -12.760000, -12.760000, 913, 0.721000, 0.000100
320000, -12.230000, -12.230000, 928, 0.712000, 0.000100
330000, -11.650000, -11.650000, 943, 0.703000, 0.000100
340000, -11.330000, -11.330000, 958, 0.694000, 0.000100
350000, -10.000000, -10.000000, 971, 0.685000, 0.000100
360000, -8.360000, -8.320000, 983, 0.676000, 0.000100
370000, -8.360000, -8.320000, 983, 0.667000, 0.000100
380000, -8.360000, -8.320000, 983, 0.658000, 0.000100
390000, -7.200000, -7.140000, 992, 0.649000, 0.000100
400000, -6.430000, -6.430000, 1003, 0.640000, 0.000100
410000, -5.850000, -5.850000, 1013, 0.631000, 0.000100
420000, -5.540000, -5.540000, 1023, 0.622000, 0.000100
430000, -3.500000, -3.500000, 1034, 0.613000, 0.000100
440000, -1.520000, -1.520000, 1046, 0.604000, 0.000100
450000, 0.530000, 0.530000, 1057, 0.595000, 0.000100
460000, 1.380000, 1.380000, 1067, 0.586000, 0.000100
470000, 1.730000, 1.780000, 1077, 0.577000, 0.000100
480000, 2.640000, 2.640000, 1088, 0.568000, 0.000100
490000, 3.330000, 3.330000, 1099, 0.559000, 0.000100
500000, 3.510000, 3.660000, 1108, 0.550000, 0.000100
510000, 3.510000, 3.660000, 1108, 0.541000, 0.000100
520000, 3.510000, 3.660000, 1108, 0.532000, 0.000100
530000, 4.620000, 4.620000, 1116, 0.523000, 0.000100
540000, 5.440000, 5.620000, 1125, 0.514000, 0.000100
550000, 5.230000, 5.660000, 1134, 0.505000, 0.000100
560000, 5.830000, 5.830000, 1146, 0.496000, 0.000100
570000, 5.980000, 6.030000, 1155, 0.487000, 0.000100
580000, 6.770000, 6.770000, 1166, 0.478000, 0.000100
590000, 6.750000, 7.140000, 1178, 0.469000, 0.000100
600000, 7.010000, 7.140000, 1182, 0.460000, 0.000100
610000, 7.010000, 7.140000, 1182, 0.451000, 0.000100
620000, 6.640000, 7.140000, 1185, 0.442000, 0.000100
630000, 7.600000, 7.600000, 1199, 0.433000, 0.000100
640000, 8.800000, 8.800000, 1210, 0.424000, 0.000100
650000, 8.820000, 8.820000, 1225, 0.415000, 0.000100
660000, 8.930000, 9.200000, 1237, 0.406000, 0.000100
670000, 8.890000, 9.200000, 1249, 0.397000, 0.000100
680000, 8.860000, 9.200000, 1256, 0.388000, 0.000100
690000, 8.860000, 9.200000, 1256, 0.379000, 0.000100
700000, 8.860000, 9.200000, 1256, 0.370000, 0.000100
710000, 8.930000, 9.250000, 1267, 0.361000, 0.000100
720000, 9.600000, 9.800000, 1282, 0.352000, 0.000100
730000, 10.150000, 10.300000, 1298, 0.343000, 0.000100
740000, 10.390000, 10.420000, 1308, 0.334000, 0.000100
750000, 10.610000, 10.770000, 1322, 0.325000, 0.000100
760000, 10.670000, 10.960000, 1336, 0.316000, 0.000100
770000, 10.690000, 10.960000, 1350, 0.307000, 0.000100
780000, 10.760000, 10.960000, 1366, 0.298000, 0.000100
790000, 11.160000, 11.160000, 1383, 0.289000, 0.000100
800000, 11.570000, 11.570000, 1401, 0.280000, 0.000100
810000, 11.930000, 11.950000, 1415, 0.271000, 0.000100
820000, 11.650000, 12.140000, 1429, 0.262000, 0.000100
830000, 12.410000, 12.410000, 1442, 0.253000, 0.000100
840000, 12.230000, 12.410000, 1444, 0.244000, 0.000100
850000, 12.230000, 12.410000, 1444, 0.235000, 0.000100
860000, 12.220000, 12.410000, 1451, 0.226000, 0.000100
870000, 12.320000, 12.410000, 1458, 0.217000, 0.000100
880000, 12.320000, 12.410000, 1458, 0.208000, 0.000100
890000, 12.250000, 12.410000, 1460, 0.199000, 0.000100
900000, 12.330000, 12.440000, 1476, 0.190000, 0.000100
910000, 12.270000, 12.500000, 1488, 0.181000, 0.000100
920000, 12.270000, 12.500000, 1488, 0.172000, 0.000100
930000, 12.270000, 12.500000, 1488, 0.163000, 0.000100
940000, 11.780000, 12.500000, 1500, 0.154000, 0.000100
950000, 11.990000, 12.500000, 1508, 0.145000, 0.000100
960000, 11.990000, 12.500000, 1508, 0.136000, 0.000100
970000, 11.840000, 12.500000, 1510, 0.127000, 0.000100
980000, 12.140000, 12.500000, 1527, 0.118000, 0.000100
990000, 12.530000, 12.530000, 1544, 0.109000, 0.000100
1000000, 12.820000, 12.820000, 1554, 0.100000, 0.000100
1010000, 12.820000, 12.820000, 1554, 0.099100, 0.000100
1020000, 12.820000, 12.820000, 1554, 0.098200, 0.000100
1030000, 13.130000, 13.130000, 1564, 0.097300, 0.000100
1040000, 13.130000, 13.130000, 1564, 0.096400, 0.000100
1050000, 13.130000, 13.130000, 1564, 0.095500, 0.000099
1060000, 12.840000, 13.130000, 1566, 0.094600, 0.000099
1070000, 12.840000, 13.130000, 1566, 0.093700, 0.000099
1080000, 12.650000, 13.130000, 1571, 0.092800, 0.000099
1090000, 12.610000, 13.130000, 1587, 0.091900, 0.000099
1100000, 12.940000, 13.130000, 1603, 0.091000, 0.000099
1110000, 13.300000, 13.430000, 1621, 0.090100, 0.000099
1120000, 13.480000, 13.480000, 1632, 0.089200, 0.000099
1130000, 13.480000, 13.480000, 1632, 0.088300, 0.000098
1140000, 13.480000, 13.480000, 1632, 0.087400, 0.000098
1150000, 13.370000, 13.480000, 1646, 0.086500, 0.000098
1160000, 13.740000, 13.850000, 1663, 0.085600, 0.000098
1170000, 13.740000, 13.850000, 1663, 0.084700, 0.000098
1180000, 13.740000, 13.850000, 1663, 0.083800, 0.000098
1190000, 13.860000, 13.990000, 1673, 0.082900, 0.000098
1200000, 14.350000, 14.530000, 1690, 0.082000, 0.000097
1210000, 14.430000, 14.530000, 1707, 0.081100, 0.000097
1220000, 14.240000, 14.530000, 1725, 0.080200, 0.000097
1230000, 14.060000, 14.530000, 1741, 0.079300, 0.000097
1240000, 14.420000, 14.530000, 1758, 0.078400, 0.000097
1250000, 14.160000, 14.530000, 1773, 0.077500, 0.000097
1260000, 13.600000, 14.530000, 1787, 0.076600, 0.000097
1270000, 13.430000, 14.530000, 1804, 0.075700, 0.000097
1280000, 12.970000, 14.530000, 1822, 0.074800, 0.000097
1290000, 13.530000, 14.530000, 1837, 0.073900, 0.000096
1300000, 13.120000, 14.530000, 1855, 0.073000, 0.000096
1310000, 13.130000, 14.530000, 1873, 0.072100, 0.000096
1320000, 13.370000, 14.530000, 1891, 0.071200, 0.000096
1330000, 13.820000, 14.530000, 1909, 0.070300, 0.000096
1340000, 14.030000, 14.530000, 1927, 0.069400, 0.000096
1350000, 14.030000, 14.530000, 1945, 0.068500, 0.000096
1360000, 14.800000, 14.840000, 1962, 0.067600, 0.000096
1370000, 15.060000, 15.120000, 1981, 0.066700, 0.000095
1380000, 15.220000, 15.220000, 1999, 0.065800, 0.000095
1390000, 15.180000, 15.280000, 2018, 0.064900, 0.000095
1400000, 15.470000, 15.470000, 2036, 0.064000, 0.000095
1410000, 15.070000, 15.580000, 2053, 0.063100, 0.000095
1420000, 14.680000, 15.580000, 2070, 0.062200, 0.000095
1430000, 14.110000, 15.580000, 2087, 0.061300, 0.000095
1440000, 14.010000, 15.580000, 2104, 0.060400, 0.000095
1450000, 14.040000, 15.580000, 2117, 0.059500, 0.000094
1460000, 13.750000, 15.580000, 2132, 0.058600, 0.000094
1470000, 12.950000, 15.580000, 2147, 0.057700, 0.000094
1480000, 13.750000, 15.580000, 2165, 0.056800, 0.000094
