time, mean reward 100 episode, best mean reward, episodes, exploration, learning rate
60000, -20.680000, -20.540000, 278, 0.946000, 0.000100
70000, -20.900000, -20.540000, 328, 0.937000, 0.000100
80000, -20.850000, -20.540000, 377, 0.928000, 0.000099
90000, -20.800000, -20.540000, 426, 0.919000, 0.000097
100000, -20.670000, -20.540000, 467, 0.910000, 0.000096
110000, -20.090000, -20.090000, 500, 0.901000, 0.000094
120000, -19.440000, -19.440000, 533, 0.892000, 0.000092
130000, -18.850000, -18.850000, 563, 0.883000, 0.000091
140000, -18.420000, -18.420000, 586, 0.874000, 0.000089
150000, -17.740000, -17.740000, 608, 0.865000, 0.000087
160000, -17.010000, -17.000000, 629, 0.856000, 0.000086
170000, -16.120000, -16.120000, 647, 0.847000, 0.000084
180000, -15.900000, -15.890000, 667, 0.838000, 0.000082
